REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Population, 2021 [1]",Symbols,"Population and dwelling counts (13): Population, 2016 [2]",Symbols.1,"Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]",Symbols.2,"Population and dwelling counts (13): Total private dwellings, 2021 [4]",Symbols.3,"Population and dwelling counts (13): Total private dwellings, 2016 [5]",Symbols.4,"Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]",Symbols.5,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]",Symbols.6,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]",Symbols.7,"Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]",Symbols.8,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",Symbols.9,"Population and dwelling counts (13): Population density per square kilometre, 2021 [11]",Symbols.10,"Population and dwelling counts (13): National population rank, 2021 [12]",Symbols.11,"Population and dwelling counts (13): Province/territory population rank, 2021 [13]",Symbols.12
2021-01-01,La Macaza,2021A00052479047,945,1094,,1150,,-4.9,,997,,1043,,-4.4,,509,,473,,7.6,,161.42,,6.8,,2005,,623,
2021-01-01,Lac-Akonapwehikan,2021A00052479904,946,0,,0,,,...,0,,0,,,...,0,,0,,,...,7.54,,0.0,,4831,,1194,
2021-01-01,Lac-Bazinet,2021A00052479910,947,0,,0,,,...,1,,0,,,...,0,,0,,,...,1536.22,,0.0,,4831,,1194,
2021-01-01,Lac-De La Bidière,2021A00052479912,948,0,,0,,,...,0,,0,,,...,0,,0,,,...,1530.44,,0.0,,4831,,1194,
2021-01-01,Lac-Douaire,2021A00052479922,949,5,,5,,0.0,,0,,1,,-100.0,,0,,1,,-100.0,,1957.99,,0.0,,4760,,1187,
2021-01-01,Lac-Ernest,2021A00052479924,950,0,,0,,,...,0,,0,,,...,0,,0,,,...,339.30,,0.0,,4831,,1194,
2021-01-01,Lac-Marguerite,2021A00052479926,951,0,,0,,,...,0,,0,,,...,0,,0,,,...,803.59,,0.0,,4831,,1194,
2021-01-01,Lac-Oscar,2021A00052479914,952,0,,0,,,...,0,,0,,,...,0,,0,,,...,1667.85,,0.0,,4831,,1194,
2021-01-01,Lac-Saguay,2021A00052479060,953,526,,459,,14.6,,447,,457,,-2.2,,280,,241,,16.2,,171.88,,3.1,,2880,,905,
2021-01-01,Lac-Saint-Paul,2021A00052479105,954,525,,481,,9.1,,423,,409,,3.4,,275,,243,,13.2,,170.72,,3.1,,2881,,906,
2021-01-01,Lac-Wagwabika,2021A00052479906,955,0,,0,,,...,0,,0,,,...,0,,0,,,...,4.13,,0.0,,4831,,1194,
2021-01-01,Lac-de-la-Maison-de-Pierre,2021A00052479916,956,0,,0,,,...,0,,0,,,...,0,,0,,,...,472.88,,0.0,,4831,,1194,
2021-01-01,Lac-de-la-Pomme,2021A00052479902,957,0,,0,,,...,0,,0,,,...,0,,0,,,...,50.27,,0.0,,4831,,1194,
2021-01-01,Lac-des-Écorces,2021A00052479078,958,2885,,2734,,5.5,,1669,,1649,,1.2,,1363,,1266,,7.7,,144.30,,20.0,,1076,,288,
2021-01-01,Lac-du-Cerf,2021A00052479015,959,445,,435,,2.3,,458,,466,,-1.7,,245,,236,,3.8,,71.73,,6.2,,3064,,965,
2021-01-01,Mont-Laurier,2021A00052479088,960,14180,,14116,,0.5,,7223,,6890,,4.8,,6698,,6370,,5.1,,587.42,,24.1,,305,,78,
2021-01-01,Mont-Saint-Michel,2021A00052479110,961,581,,576,r,0.9,,382,,424,r,-9.9,,280,,267,r,4.9,,138.16,,4.2,,2749,,871,
2021-01-01,Nominingue,2021A00052479030,962,2255,,2137,,5.5,,1937,,1937,,0.0,,1176,,1044,,12.6,,303.89,,7.4,,1275,,368,
2021-01-01,Notre-Dame-de-Pontmain,2021A00052479010,963,790,,782,,1.0,,746,,776,,-3.9,,411,,378,,8.7,,259.90,,3.0,,2380,,759,
2021-01-01,Notre-Dame-du-Laus,2021A00052479005,964,1730,,1558,,11.0,,1924,,1966,,-2.1,,932,,791,,17.8,,849.10,,2.0,,1526,,458,
2021-01-01,Rivière-Rouge,2021A00052479037,965,4631,,4322,,7.1,,3082,,3053,,0.9,,2328,,2137,,8.9,,451.43,,10.3,,773,,195,
2021-01-01,Saint-Aimé-du-Lac-des-Îles,2021A00052479022,966,815,,790,,3.2,,481,,486,,-1.0,,375,,339,,10.6,,161.61,,5.0,,2344,,746,
2021-01-01,Sainte-Anne-du-Lac,2021A00052479115,967,556,,575,,-3.3,,422,,364,,15.9,,299,,285,,4.9,,320.73,,1.7,,2805,,883,
2021-01-01,Argenteuil,2021A00032476,968,34752,,32389,,7.3,,19600,,19081,,2.7,,16223,,14789,,9.7,,1234.69,,28.1,,165,,53,
2021-01-01,Brownsburg-Chatham,2021A00052476043,969,7247,,7122,,1.8,,3783,,3726,,1.5,,3282,,3094,,6.1,,244.46,,29.6,,569,,141,
2021-01-01,Gore,2021A00052476025,970,2283,,1904,,19.9,,1615,,1542,,4.7,,1124,,904,,24.3,,90.04,,25.4,,1265,,361,
2021-01-01,Grenville,2021A00052476055,971,1816,,1711,,6.1,,951,,862,,10.3,,903,,792,,14.0,,2.82,,644.6,,1464,,431,
2021-01-01,Grenville-sur-la-Rouge,2021A00052476052,972,2883,,2824,,2.1,,1808,,1916,,-5.6,,1376,,1306,,5.4,,313.61,,9.2,,1079,,290,
2021-01-01,Harrington,2021A00052476065,973,967,,846,,14.3,,1339,,1379,,-2.9,,543,,457,,18.8,,233.65,,4.1,,2149,,671,
2021-01-01,Lachute,2021A00052476020,974,14100,,12862,r,9.6,,6862,,6403,r,7.2,,6531,,5983,r,9.2,,108.66,,129.8,,306,,79,
2021-01-01,Mille-Isles,2021A00052476030,975,1721,,1567,,9.8,,950,,907,,4.7,,756,,685,,10.4,,58.73,,29.3,,1532,,462,
2021-01-01,Saint-André-d'Argenteuil,2021A00052476008,976,3053,,3020,r,1.1,,1490,,1558,r,-4.4,,1330,,1302,r,2.2,,97.69,,31.3,,1029,,270,
2021-01-01,Wentworth,2021A00052476035,977,682,,533,,28.0,,802,,788,,1.8,,378,,266,,42.1,,85.03,,8.0,,2559,,814,
2021-01-01,Arthabaska,2021A00032439,978,74348,,72014,,3.2,,35556,,33483,,6.2,,33166,,31447,,5.5,,1887.09,,39.4,,90,,23,
2021-01-01,Chesterville,2021A00052439030,979,877,,922,,-4.9,,422,,416,,1.4,,363,,358,,1.4,,116.72,,7.5,,2269,,719,
2021-01-01,Daveluyville,2021A00052439152,980,2360,,2255,r,4.7,,1154,,1097,r,5.2,,1077,,998,r,7.9,,61.71,,38.2,,1242,,352,
2021-01-01,Ham-Nord,2021A00052439010,981,857,,869,,-1.4,,446,,437,,2.1,,393,,363,,8.3,,103.98,,8.2,,2296,,727,
2021-01-01,Kingsey Falls,2021A00052439097,982,1986,,1947,,2.0,,837,,813,,3.0,,800,,756,,5.8,,69.36,,28.6,,1388,,408,
2021-01-01,Maddington Falls,2021A00052439165,983,428,,413,,3.6,,228,,226,,0.9,,213,,196,,8.7,,23.82,,18.0,,3104,,975,
2021-01-01,Notre-Dame-de-Ham,2021A00052439015,984,414,,411,,0.7,,233,,236,,-1.3,,204,,195,,4.6,,31.05,,13.3,,3128,,980,
2021-01-01,Saint-Albert,2021A00052439085,985,1640,,1601,,2.4,,692,,677,,2.2,,661,,652,,1.4,,69.43,,23.6,,1572,,477,
2021-01-01,Saint-Christophe-d'Arthabaska,2021A00052439060,986,3111,,3021,,3.0,,1222,,1173,,4.2,,1178,,1124,,4.8,,68.96,,45.1,,1017,,265,
2021-01-01,Saint-Louis-de-Blandford,2021A00052439170,987,1076,,1011,,6.4,,583,,541,,7.8,,491,,434,,13.1,,104.36,,10.3,,2023,,630,
2021-01-01,Saint-Norbert-d'Arthabaska,2021A00052439043,988,1247,,1157,,7.8,,509,,501,,1.6,,481,,472,,1.9,,102.98,,12.1,,1850,,568,
2021-01-01,Saint-Rosaire,2021A00052439145,989,932,,843,,10.6,,395,,367,,7.6,,363,,340,,6.8,,109.53,,8.5,,2205,,691,
2021-01-01,Saint-Rémi-de-Tingwick,2021A00052439020,990,446,,458,,-2.6,,269,,285,,-5.6,,208,,210,,-1.0,,72.97,,6.1,,3056,,960,
2021-01-01,Saint-Samuel,2021A00052439130,991,765,,744,,2.8,,368,,354,,4.0,,330,,317,,4.1,,43.21,,17.7,,2414,,775,
2021-01-01,Saint-Valère,2021A00052439135,992,1188,,1263,,-5.9,,529,,523,,1.1,,505,,499,,1.2,,108.10,,11.0,,1911,,583,
2021-01-01,Sainte-Clotilde-de-Horton,2021A00052439117,993,1563,,1569,,-0.4,,820,,852,,-3.8,,684,,688,,-0.6,,114.66,,13.6,,1628,,494,
2021-01-01,Sainte-Hélène-de-Chester,2021A00052439035,994,384,,374,,2.7,,204,,197,,3.6,,169,,160,,5.6,,83.72,,4.6,,3226,,1003,
2021-01-01,Sainte-Séraphine,2021A00052439105,995,441,,355,,24.2,,224,,205,,9.3,,176,,150,,17.3,,75.86,,5.8,,3071,,967,
2021-01-01,Sainte-Élizabeth-de-Warwick,2021A00052439090,996,383,,372,,3.0,,151,,152,,-0.7,,145,,139,,4.3,,51.87,,7.4,,3232,,1005,
2021-01-01,Saints-Martyrs-Canadiens,2021A00052439005,997,277,,254,,9.1,,269,,254,,5.9,,148,,130,,13.8,,111.40,,2.5,,3592,,1079,
2021-01-01,Tingwick,2021A00052439025,998,1484,,1410,,5.2,,759,,748,,1.5,,650,,607,,7.1,,169.48,,8.8,,1674,,508,
2021-01-01,Victoriaville,2021A00052439062,999,47760,,46130,,3.5,,23106,,21380,,8.1,,21864,,20674,,5.8,,84.33,,566.4,,110,,25,
2021-01-01,Warwick,2021A00052439077,1000,4729,,4635,,2.0,,2136,,2049,,4.2,,2063,,1985,,3.9,,109.60,,43.1,,768,,193,
2021-01-01,Avignon,2021A00032406,1001,13415,,14461,,-7.2,,6967,,7340,,-5.1,,6281,,6570,,-4.4,,3487.37,,3.8,,257,,90,
2021-01-01,Carleton-sur-Mer,2021A00052406013,1002,4081,,4073,,0.2,,2222,,2136,,4.0,,2016,,1918,,5.1,,221.48,,18.4,,847,,213,
2021-01-01,Escuminac,2021A00052406025,1003,575,,544,,5.7,,317,,297,,6.7,,268,,241,,11.2,,108.70,,5.3,,2768,,875,
2021-01-01,Gesgapegiag,2021A00052406802,1004,637,,653,,-2.5,,264,,264,,0.0,,243,,257,,-5.4,,2.20,,289.8,,2651,,844,
2021-01-01,L'Ascension-de-Patapédia,2021A00052406060,1005,148,,164,,-9.8,,111,,113,,-1.8,,87,,89,,-2.2,,95.98,,1.5,,4067,,1139,
2021-01-01,Listuguj,2021A00052406804,1006,,..,1514,r,,..,,..,735,r,,..,,..,692,r,,..,44.23,,,..,,..,,..
2021-01-01,Maria,2021A00052406005,1007,2760,,2615,,5.5,,1229,,1159,,6.0,,1164,,1075,,8.3,,94.88,,29.1,,1106,,299,
2021-01-01,Matapédia,2021A00052406045,1008,566,,645,,-12.2,,357,,365,,-2.2,,307,,314,,-2.2,,71.59,,7.9,,2784,,879,
2021-01-01,Nouvelle,2021A00052406020,1009,1782,,1681,r,6.0,,931,,939,r,-0.9,,829,,754,r,9.9,,234.66,,7.6,,1492,,443,
2021-01-01,Pointe-à-la-Croix,2021A00052406030,1010,1344,,1408,r,-4.5,,697,,739,r,-5.7,,642,,662,r,-3.0,,390.73,,3.4,,1778,,546,
2021-01-01,Ristigouche-Partie-Sud-Est,2021A00052406035,1011,170,,171,,-0.6,,95,,91,,4.4,,81,,82,,-1.2,,51.76,,3.3,,3974,,1130,
2021-01-01,Rivière-Nouvelle,2021A00052406902,1012,0,,0,,,...,0,,0,,,...,0,,0,,,...,1087.60,,0.0,,4831,,1194,
2021-01-01,Ruisseau-Ferguson,2021A00052406904,1013,0,,0,,,...,0,,0,,,...,0,,0,,,...,675.94,,0.0,,4831,,1194,
2021-01-01,Saint-Alexis-de-Matapédia,2021A00052406050,1014,519,,500,,3.8,,285,,283,,0.7,,249,,232,,7.3,,84.91,,6.1,,2890,,909,
2021-01-01,Saint-André-de-Restigouche,2021A00052406040,1015,154,,161,,-4.3,,92,,95,,-3.2,,72,,81,,-11.1,,143.37,,1.1,,4039,,1137,
2021-01-01,Saint-François-d'Assise,2021A00052406055,1016,679,,644,,5.4,,367,,360,,1.9,,323,,304,,6.3,,179.34,,3.8,,2563,,816,
2021-01-01,Beauce-Sartigan,2021A00032429,1017,53384,,52406,,1.9,,25591,,24195,,5.8,,24136,,22861,,5.6,,1952.73,,27.3,,120,,34,
2021-01-01,La Guadeloupe,2021A00052429030,1018,1805,,1707,,5.7,,860,,800,,7.5,,814,,740,,10.0,,32.84,,55.0,,1474,,437,
2021-01-01,Lac-Poulin,2021A00052429095,1019,171,,147,,16.3,,154,,154,,0.0,,75,,66,,13.6,,0.88,,195.3,,3971,,1129,
2021-01-01,Notre-Dame-des-Pins,2021A00052429120,1020,1812,,1594,,13.7,,763,,650,,17.4,,745,,639,,16.6,,24.09,,75.2,,1468,,433,
2021-01-01,Saint-Benoît-Labre,2021A00052429100,1021,1617,,1630,,-0.8,,820,,797,,2.9,,710,,675,,5.2,,85.65,,18.9,,1585,,481,
2021-01-01,Saint-Côme--Linière,2021A00052429057,1022,3278,,3239,,1.2,,1537,,1517,,1.3,,1388,,1348,,3.0,,150.45,,21.8,,980,,255,
2021-01-01,Saint-Georges,2021A00052429073,1023,32935,,32513,,1.3,,16058,,15022,,6.9,,15415,,14592,,5.6,,199.08,,165.4,,146,,34,
2021-01-01,Saint-Gédéon-de-Beauce,2021A00052429013,1024,2093,,2205,,-5.1,,956,,953,,0.3,,911,,890,,2.4,,197.37,,10.6,,1341,,390,
2021-01-01,Saint-Hilaire-de-Dorset,2021A00052429020,1025,96,,95,,1.1,,56,,49,,14.3,,44,,42,,4.8,,186.77,,0.5,,4276,,1151,
2021-01-01,Saint-Honoré-de-Shenley,2021A00052429038,1026,1555,,1517,r,2.5,,678,,643,r,5.4,,637,,612,r,4.1,,133.96,,11.6,,1633,,496,
2021-01-01,Saint-Martin,2021A00052429045,1027,2588,,2477,,4.5,,1226,,1189,,3.1,,1136,,1108,,2.5,,118.00,,21.9,,1160,,320,
2021-01-01,Saint-Philibert,2021A00052429065,1028,379,,369,,2.7,,160,,156,,2.6,,148,,144,,2.8,,57.16,,6.6,,3248,,1009,
2021-01-01,Saint-René,2021A00052429050,1029,946,,745,,27.0,,373,,321,,16.2,,351,,295,,19.0,,61.54,,15.4,,2186,,684,
2021-01-01,Saint-Simon-les-Mines,2021A00052429125,1030,573,,549,,4.4,,231,,237,,-2.5,,223,,222,,0.5,,47.43,,12.1,,2773,,876,
2021-01-01,Saint-Théophile,2021A00052429005,1031,702,,713,,-1.5,,354,,357,,-0.8,,322,,314,,2.5,,427.78,,1.6,,2519,,803,
2021-01-01,Saint-Éphrem-de-Beauce,2021A00052429112,1032,2323,,2400,,-3.2,,1054,,1044,,1.0,,987,,961,,2.7,,118.90,,19.5,,1254,,357,
2021-01-01,Saint-Évariste-de-Forsyth,2021A00052429025,1033,511,,545,r,-6.2,,311,,323,r,-3.7,,230,,230,r,0.0,,110.85,,4.6,,2908,,918,
2021-01-01,Beauharnois-Salaberry,2021A00032470,1034,68322,,64320,,6.2,,32524,,30151,,7.9,,31245,,28865,,8.2,,468.48,,145.8,,96,,25,
2021-01-01,Beauharnois,2021A00052470022,1035,13638,,12884,,5.9,,6451,,6072,,6.2,,6293,,5798,,8.5,,68.22,,199.9,,323,,85,
2021-01-01,Saint-Louis-de-Gonzague,2021A00052470035,1036,1950,,1481,,31.7,,777,,602,,29.1,,757,,580,,30.5,,77.04,,25.3,,1406,,413,
2021-01-01,Saint-Stanislas-de-Kostka,2021A00052470040,1037,1852,,1654,,12.0,,896,,877,,2.2,,788,,725,,8.7,,57.69,,32.1,,1441,,422,
2021-01-01,Saint-Urbain-Premier,2021A00052470005,1038,1332,,1264,,5.4,,538,,530,,1.5,,504,,499,,1.0,,53.28,,25.0,,1787,,550,
2021-01-01,Saint-Étienne-de-Beauharnois,2021A00052470030,1039,1099,,831,,32.3,,431,,346,,24.6,,423,,331,,27.8,,40.63,,27.1,,2000,,619,
2021-01-01,Sainte-Martine,2021A00052470012,1040,5664,,5461,,3.7,,2469,,2368,,4.3,,2407,,2309,,4.2,,63.06,,89.8,,682,,173,
2021-01-01,Salaberry-de-Valleyfield,2021A00052470052,1041,42787,,40745,,5.0,,20962,,19356,,8.3,,20073,,18623,,7.8,,108.56,,394.1,,123,,28,
2021-01-01,Bellechasse,2021A00032419,1042,38000,,37233,,2.1,,18000,,17740,,1.5,,16229,,15625,,3.9,,1749.91,,21.7,,151,,47,
2021-01-01,Armagh,2021A00052419037,1043,1439,,1488,,-3.3,,785,,808,,-2.8,,686,,680,,0.9,,167.99,,8.6,,1706,,518,
2021-01-01,Beaumont,2021A00052419105,1044,2968,,2942,,0.9,,1171,,1328,,-11.8,,1120,,1135,,-1.3,,44.57,,66.6,,1056,,278,
2021-01-01,Honfleur,2021A00052419070,1045,881,,849,,3.8,,362,,358,,1.1,,338,,330,,2.4,,50.67,,17.4,,2264,,717,
2021-01-01,La Durantaye,2021A00052419090,1046,782,,755,,3.6,,374,,363,,3.0,,339,,328,,3.4,,34.99,,22.3,,2396,,766,
2021-01-01,Notre-Dame-Auxiliatrice-de-Buckland,2021A00052419010,1047,767,,768,,-0.1,,519,,517,,0.4,,381,,362,,5.2,,94.71,,8.1,,2413,,774,
2021-01-01,Saint-Anselme,2021A00052419062,1048,4047,,3938,,2.8,,1772,,1669,,6.2,,1697,,1613,,5.2,,74.22,,54.5,,853,,215,
2021-01-01,Saint-Charles-de-Bellechasse,2021A00052419097,1049,2583,,2396,,7.8,,1121,,1022,,9.7,,1064,,992,,7.3,,93.30,,27.7,,1163,,322,
2021-01-01,Saint-Damien-de-Buckland,2021A00052419030,1050,1893,,1956,,-3.2,,949,,944,,0.5,,828,,805,,2.9,,82.04,,23.1,,1423,,418,
2021-01-01,Saint-Gervais,2021A00052419075,1051,2138,,2153,,-0.7,,896,,871,,2.9,,861,,843,,2.1,,89.33,,23.9,,1328,,387,
2021-01-01,Saint-Henri,2021A00052419068,1052,5813,,5611,,3.6,,2472,,2365,,4.5,,2358,,2267,,4.0,,122.61,,47.4,,669,,169,
2021-01-01,Saint-Lazare-de-Bellechasse,2021A00052419050,1053,1332,,1288,,3.4,,571,,562,,1.6,,540,,528,,2.3,,85.93,,15.5,,1787,,550,
2021-01-01,Saint-Léon-de-Standon,2021A00052419020,1054,1042,,1127,,-7.5,,678,,691,,-1.9,,543,,551,,-1.5,,136.88,,7.6,,2059,,643,
2021-01-01,Saint-Malachie,2021A00052419025,1055,1667,,1517,,9.9,,812,,798,,1.8,,699,,664,,5.3,,101.07,,16.5,,1558,,474,
2021-01-01,Saint-Michel-de-Bellechasse,2021A00052419110,1056,1871,,1813,,3.2,,896,,928,,-3.4,,783,,757,,3.4,,43.08,,43.4,,1433,,420,
2021-01-01,Saint-Nazaire-de-Dorchester,2021A00052419015,1057,338,,363,,-6.9,,178,,183,,-2.7,,149,,143,,4.2,,51.56,,6.6,,3390,,1036,
2021-01-01,Saint-Nérée-de-Bellechasse,2021A00052419045,1058,744,,742,,0.3,,451,,461,,-2.2,,355,,351,,1.1,,75.76,,9.8,,2449,,783,
2021-01-01,Saint-Philémon,2021A00052419005,1059,680,,714,,-4.8,,533,,545,,-2.2,,364,,350,,4.0,,146.51,,4.6,,2562,,815,
2021-01-01,Saint-Raphaël,2021A00052419082,1060,2458,,2390,,2.8,,1237,,1212,,2.1,,1084,,1017,,6.6,,121.69,,20.2,,1210,,341,
2021-01-01,Saint-Vallier,2021A00052419117,1061,1031,,1061,,-2.8,,519,,518,,0.2,,457,,457,,0.0,,44.88,,23.0,,2074,,649,
2021-01-01,Sainte-Claire,2021A00052419055,1062,3526,,3362,,4.9,,1704,,1597,,6.7,,1583,,1452,,9.0,,88.14,,40.0,,929,,239,
2021-01-01,Bonaventure,2021A00032405,1063,17557,,17660,,-0.6,,8831,,8744,,1.0,,8194,,7898,,3.7,,4379.46,,4.0,,238,,80,
2021-01-01,Bonaventure,2021A00052405045,1064,2733,,2706,,1.0,,1404,,1312,,7.0,,1318,,1208,,9.1,,104.50,,26.2,,1121,,305,
2021-01-01,Caplan,2021A00052405060,1065,1966,,2024,,-2.9,,969,,988,,-1.9,,920,,902,,2.0,,85.69,,22.9,,1400,,411,
2021-01-01,Cascapédia--Saint-Jules,2021A00052405077,1066,764,,730,,4.7,,385,,355,,8.5,,347,,324,,7.1,,164.29,,4.7,,2416,,776,
2021-01-01,Hope,2021A00052405025,1067,584,,568,,2.8,,320,,308,,3.9,,289,,264,,9.5,,70.55,,8.3,,2741,,869,
2021-01-01,Hope Town,2021A00052405020,1068,334,,339,,-1.5,,167,,170,,-1.8,,142,,139,,2.2,,51.26,,6.5,,3404,,1039,
2021-01-01,New Carlisle,2021A00052405040,1069,1336,,1388,,-3.7,,668,,666,,0.3,,603,,574,,5.1,,67.99,,19.6,,1783,,549,
2021-01-01,New Richmond,2021A00052405070,1070,3683,,3706,,-0.6,,1805,,1774,,1.7,,1715,,1663,,3.1,,172.50,,21.4,,909,,232,
2021-01-01,Paspébiac,2021A00052405032,1071,3033,,3164,,-4.1,,1501,,1515,,-0.9,,1409,,1428,,-1.3,,94.98,,31.9,,1039,,272,
2021-01-01,Rivière-Bonaventure,2021A00052405902,1072,59,,35,,68.6,,87,,85,,2.4,,36,,19,,89.5,,3054.37,,0.0,,4462,,1162,
2021-01-01,Saint-Alphonse,2021A00052405065,1073,711,,699,,1.7,,325,,330,,-1.5,,314,,309,,1.6,,112.09,,6.3,,2498,,793,
2021-01-01,Saint-Elzéar,2021A00052405050,1074,464,,458,,1.3,,227,,266,,-14.7,,204,,211,,-3.3,,204.16,,2.3,,3018,,945,
2021-01-01,Saint-Godefroi,2021A00052405015,1075,350,,380,,-7.9,,200,,214,,-6.5,,177,,180,,-1.7,,63.57,,5.5,,3347,,1026,
2021-01-01,Saint-Siméon,2021A00052405055,1076,1207,,1171,,3.1,,606,,590,,2.7,,576,,550,,4.7,,56.71,,21.3,,1886,,576,
2021-01-01,Shigawake,2021A00052405010,1077,333,,292,,14.0,,167,,171,,-2.3,,144,,127,,13.4,,76.82,,4.3,,3407,,1041,
2021-01-01,Brome-Missisquoi,2021A00032446,1078,64786,,58314,,11.1,,34331,,31470,,9.1,,29414,,25865,,13.7,,1650.20,,39.3,,103,,26,
2021-01-01,Abercorn,2021A00052446005,1079,341,,334,,2.1,,240,,236,,1.7,,180,,163,,10.4,,26.72,,12.8,,3378,,1032,
2021-01-01,Bedford,2021A00052446035,1080,2558,,2560,,-0.1,,1324,,1281,,3.4,,1233,,1209,,2.0,,4.23,,604.3,,1173,,328,
2021-01-01,Bedford,2021A00052446040,1081,658,,687,,-4.2,,282,,286,,-1.4,,273,,283,,-3.5,,31.96,,20.6,,2605,,832,
2021-01-01,Bolton-Ouest,2021A00052446065,1082,732,,630,,16.2,,522,,504,,3.6,,347,,306,,13.4,,100.94,,7.3,,2469,,789,
2021-01-01,Brigham,2021A00052446090,1083,2282,,2306,,-1.0,,1027,,1082,,-5.1,,958,,981,,-2.3,,86.92,,26.3,,1266,,362,
2021-01-01,Brome,2021A00052446070,1084,341,,296,,15.2,,169,,145,,16.6,,151,,126,,19.8,,11.56,,29.5,,3378,,1032,
2021-01-01,Bromont,2021A00052446078,1085,11357,,9041,,25.6,,6249,,5198,,20.2,,5062,,3953,,28.1,,114.05,,99.6,,379,,98,
2021-01-01,Cowansville,2021A00052446080,1086,15234,,13656,,11.6,,7247,,6272,,15.5,,6980,,5992,,16.5,,46.87,,325.0,,286,,72,
2021-01-01,Dunham,2021A00052446050,1087,3599,,3432,,4.9,,1758,,1717,,2.4,,1529,,1449,,5.5,,193.86,,18.6,,915,,234,
2021-01-01,East Farnham,2021A00052446085,1088,612,,554,,10.5,,271,,239,,13.4,,266,,231,,15.2,,5.02,,121.9,,2694,,858,
2021-01-01,Farnham,2021A00052446112,1089,10149,,8909,,13.9,,4697,,4187,,12.2,,4446,,3894,,14.2,,92.12,,110.2,,421,,108,
2021-01-01,Frelighsburg,2021A00052446010,1090,1123,,1111,,1.1,,622,,624,,-0.3,,515,,497,,3.6,,123.31,,9.1,,1974,,608,
2021-01-01,Lac-Brome,2021A00052446075,1091,5923,,5495,,7.8,,3683,,3560,,3.5,,2828,,2565,,10.3,,206.90,,28.6,,659,,167,
2021-01-01,Notre-Dame-de-Stanbridge,2021A00052446100,1092,691,,668,,3.4,,294,,292,,0.7,,281,,280,,0.4,,43.89,,15.7,,2540,,809,
2021-01-01,Pike River,2021A00052446025,1093,503,,517,,-2.7,,249,,275,,-9.5,,216,,228,,-5.3,,40.77,,12.3,,2936,,923,
2021-01-01,Saint-Armand,2021A00052446017,1094,1228,,1205,,1.9,,682,,656,,4.0,,590,,553,,6.7,,83.16,,14.8,,1871,,574,
2021-01-01,Saint-Ignace-de-Stanbridge,2021A00052446095,1095,677,,676,,0.1,,285,,283,,0.7,,265,,265,,0.0,,69.42,,9.8,,2569,,818,
2021-01-01,Sainte-Sabine,2021A00052446105,1096,1105,,1085,,1.8,,440,,443,,-0.7,,423,,407,,3.9,,55.33,,20.0,,1993,,616,
2021-01-01,Stanbridge East,2021A00052446045,1097,834,,866,,-3.7,,394,,388,,1.5,,364,,367,,-0.8,,49.41,,16.9,,2327,,741,
2021-01-01,Stanbridge Station,2021A00052446030,1098,291,,274,,6.2,,129,,132,,-2.3,,119,,116,,2.6,,18.07,,16.1,,3539,,1066,
2021-01-01,Sutton,2021A00052446058,1099,4548,,4012,,13.4,,3767,,3670,,2.6,,2388,,2000,,19.4,,245.69,,18.5,,783,,198,
2021-01-01,Bécancour,2021A00032438,1100,20748,,20404,,1.7,,10148,,9947,,2.0,,9391,,9041,,3.9,,1143.13,,18.2,,217,,71,
2021-01-01,Bécancour,2021A00052438010,1101,13561,,13031,,4.1,,6348,,6031,,5.3,,6034,,5694,,6.0,,439.54,,30.9,,325,,86,
2021-01-01,Deschaillons-sur-Saint-Laurent,2021A00052438070,1102,906,,909,,-0.3,,541,,557,,-2.9,,460,,447,,2.9,,36.51,,24.8,,2236,,703,
2021-01-01,Fortierville,2021A00052438047,1103,660,,669,,-1.3,,301,,304,,-1.0,,282,,284,,-0.7,,44.55,,14.8,,2603,,830,
2021-01-01,Lemieux,2021A00052438020,1104,292,,301,,-3.0,,132,,136,,-2.9,,126,,123,,2.4,,74.60,,3.9,,3535,,1065,
2021-01-01,Manseau,2021A00052438028,1105,807,,816,,-1.1,,422,,435,,-3.0,,385,,380,,1.3,,104.48,,7.7,,2360,,751,
2021-01-01,Parisville,2021A00052438055,1106,396,,530,,-25.3,,198,,257,,-23.0,,179,,231,,-22.5,,35.58,,11.1,,3194,,995,
2021-01-01,Saint-Pierre-les-Becquets,2021A00052438065,1107,1183,,1137,,4.0,,627,,619,,1.3,,533,,506,,5.3,,48.14,,24.6,,1916,,586,
2021-01-01,Saint-Sylvère,2021A00052438005,1108,786,,791,,-0.6,,367,,391,,-6.1,,346,,345,,0.3,,86.30,,9.1,,2391,,764,
2021-01-01,Sainte-Cécile-de-Lévrard,2021A00052438060,1109,349,,372,,-6.2,,163,,167,,-2.4,,153,,156,,-1.9,,32.32,,10.8,,3353,,1030,
2021-01-01,Sainte-Françoise,2021A00052438035,1110,467,,449,,4.0,,238,,242,,-1.7,,216,,213,,1.4,,87.02,,5.4,,3014,,944,
